logged_at,season,jornada,partido,fecha,home,away,mercado,ambito,linea,prob,seleccion
2026-07-23T12:23:58,2025-2026,38,getafe vs osasuna,2026-05-23,getafe,osasuna,corners,Total,10.5,0.2804,UNDER
2026-07-23T12:23:58,2025-2026,38,getafe vs osasuna,2026-05-23,getafe,osasuna,corners,Total,11.5,0.189,UNDER
2026-07-23T12:23:58,2025-2026,38,getafe vs osasuna,2026-05-23,getafe,osasuna,corners,Local,3.5,0.6646,OVER
2026-07-23T12:23:58,2025-2026,38,getafe vs osasuna,2026-05-23,getafe,osasuna,corners,Local,4.5,0.5039,OVER
2026-07-23T12:23:58,2025-2026,38,getafe vs osasuna,2026-05-23,getafe,osasuna,corners,Local,5.5,0.3611,UNDER
2026-07-23T12:23:58,2025-2026,38,getafe vs osasuna,2026-05-23,getafe,osasuna,corners,Visitante,3.5,0.4935,UNDER
2026-07-23T12:23:58,2025-2026,38,getafe vs osasuna,2026-05-23,getafe,osasuna,corners,Visitante,4.5,0.3318,UNDER
2026-07-23T12:23:58,2025-2026,38,getafe vs osasuna,2026-05-23,getafe,osasuna,corners,Visitante,5.5,0.2117,UNDER
2026-07-23T12:23:58,2025-2026,38,getafe vs osasuna,2026-05-23,getafe,osasuna,yellows,Total,2.5,0.8757,OVER
2026-07-23T12:23:58,2025-2026,38,getafe vs osasuna,2026-05-23,getafe,osasuna,yellows,Total,3.5,0.7434,OVER
2026-07-23T12:23:58,2025-2026,38,getafe vs osasuna,2026-05-23,getafe,osasuna,yellows,Total,4.5,0.5799,OVER
2026-07-23T12:23:58,2025-2026,38,getafe vs osasuna,2026-05-23,getafe,osasuna,yellows,Total,5.5,0.4145,UNDER
2026-07-23T12:23:58,2025-2026,38,getafe vs osasuna,2026-05-23,getafe,osasuna,yellows,Total,6.5,0.2722,UNDER
2026-07-23T12:23:58,2025-2026,38,getafe vs osasuna,2026-05-23,getafe,osasuna,yellows,Local,1.5,0.7747,OVER
2026-07-23T12:23:58,2025-2026,38,getafe vs osasuna,2026-05-23,getafe,osasuna,yellows,Local,2.5,0.5039,OVER
2026-07-23T12:23:58,2025-2026,38,getafe vs osasuna,2026-05-23,getafe,osasuna,yellows,Visitante,1.5,0.762,OVER
2026-07-23T12:23:58,2025-2026,38,getafe vs osasuna,2026-05-23,getafe,osasuna,yellows,Visitante,2.5,0.4867,UNDER
2026-07-23T12:23:58,2025-2026,38,getafe vs osasuna,2026-05-23,getafe,osasuna,fouls,Total,19.5,0.9737,OVER
2026-07-23T12:23:58,2025-2026,38,getafe vs osasuna,2026-05-23,getafe,osasuna,fouls,Total,21.5,0.9366,OVER
2026-07-23T12:23:58,2025-2026,38,getafe vs osasuna,2026-05-23,getafe,osasuna,fouls,Total,23.5,0.8629,OVER
2026-07-23T12:23:58,2025-2026,38,getafe vs osasuna,2026-05-23,getafe,osasuna,fouls,Total,25.5,0.7565,OVER
2026-07-23T12:23:58,2025-2026,38,getafe vs osasuna,2026-05-23,getafe,osasuna,shots,Total,20.5,0.6014,OVER
2026-07-23T12:23:58,2025-2026,38,getafe vs osasuna,2026-05-23,getafe,osasuna,shots,Total,22.5,0.4481,UNDER
2026-07-23T12:23:58,2025-2026,38,getafe vs osasuna,2026-05-23,getafe,osasuna,shots,Total,24.5,0.3126,UNDER
2026-07-23T12:23:58,2025-2026,38,getafe vs osasuna,2026-05-23,getafe,osasuna,shots,Total,26.5,0.1996,UNDER
2026-07-23T12:23:58,2025-2026,38,getafe vs osasuna,2026-05-23,getafe,osasuna,shots,Local,9.5,0.6067,OVER
2026-07-23T12:23:58,2025-2026,38,getafe vs osasuna,2026-05-23,getafe,osasuna,shots,Local,11.5,0.4122,UNDER
